dot_x,dot_y,dot_fwhm_x,dot_fwhm_y,laser_x,laser_y
1.380941787347493801e+03,6.674057705897096184e+02,8.613747538379359980e+01,2.357419834411647130e+01,1.271496660635486023e+03,1.109987188825164139e+03
1.379325425661675354e+03,nan,8.756300078978151191e+01,nan,1.267301992569395452e+03,1.111448213477985064e+03
1.377388914947856165e+03,nan,8.961814145014938049e+01,nan,nan,nan
1.380317321706901112e+03,6.647941131097034031e+02,8.627288859339320481e+01,2.144188794787261898e+01,1.270150736503053167e+03,1.110182225379165629e+03
1.378569661406456817e+03,nan,8.773070670423631157e+01,nan,1.264289186321763964e+03,1.111836317042584369e+03
1.378875464241644522e+03,nan,8.853760520373690213e+01,nan,1.264840186934929989e+03,1.112127906582776177e+03
1.378945695426155453e+03,nan,8.735921371596160157e+01,nan,1.264835386563860538e+03,1.111610111270114885e+03
1.380113205471154743e+03,nan,8.665525226777829459e+01,nan,1.268579573018588917e+03,1.110983773179892296e+03
1.381317345653473922e+03,6.683199245726997333e+02,8.528931175925774255e+01,2.450707659633741997e+01,1.269955284550486567e+03,1.111006358108500990e+03
1.380140072018752790e+03,nan,8.666630119756830197e+01,nan,1.266947226852946187e+03,1.111895734072424375e+03
1.382123990807133168e+03,nan,8.448817594956359756e+01,nan,1.270490299896002853e+03,1.110506365905902157e+03
1.383953226283162621e+03,nan,8.151646177661288561e+01,nan,1.265145845816725796e+03,1.112723268367893297e+03
1.379848494514491676e+03,nan,8.657073867916282950e+01,nan,1.265178439711829469e+03,1.111899970282352569e+03
1.378772069486695273e+03,nan,8.894651621689564536e+01,nan,1.265489946725663003e+03,1.111960220009970271e+03
1.382585772089838429e+03,nan,8.346698036558744604e+01,nan,1.270907959837819590e+03,1.110792960982945033e+03
1.382312493245752421e+03,nan,8.382379880598172406e+01,nan,1.265410063213473904e+03,1.112694464130991037e+03
1.381978124382132364e+03,6.691766098275062404e+02,8.471795762852275402e+01,2.482318689055174588e+01,nan,nan
1.383814811962152362e+03,nan,8.345091638569152792e+01,nan,1.268315465853071146e+03,1.112433841056703614e+03
1.383105952160742618e+03,6.637080178472599528e+02,8.312429619839097938e+01,1.978607813628428502e+01,1.269044233017874603e+03,1.110508615639373147e+03
1.383154885746759646e+03,nan,8.371725303044007660e+01,nan,1.266944969054316971e+03,1.112495201794905142e+03
1.385006916533304093e+03,nan,8.162176398060476856e+01,nan,nan,nan
1.383245292331046358e+03,nan,8.311333568406470818e+01,nan,1.264752922477788616e+03,1.112703872793088976e+03
1.386182134117283113e+03,nan,7.997533321594333700e+01,nan,1.261922177916423152e+03,1.113783048873076496e+03
1.383294517694336264e+03,6.627073334489025456e+02,8.244976151468898706e+01,1.943799714169170301e+01,nan,nan
